churn,number_vmail_messages,total_day_calls,total_eve_minutes,total_eve_charge,total_intl_minutes,number_customer_service_calls
no,31,92,257.9,21.92,9.0,1
no,0,120,200.1,17.01,11.0,2
no,41,95,137.3,11.67,5.9,1
no,0,79,103.1,8.76,7.1,0
no,0,129,167.8,14.26,12.6,1
no,0,102,292.0,24.82,8.7,0
no,0,111,206.4,17.54,5.8,3
no,35,100,209.7,17.82,12.4,1
no,0,86,203.9,17.33,14.1,2
no,0,113,220.4,18.73,10.7,4
no,0,122,242.9,20.65,13.9,1
no,34,96,262.3,22.3,5.6,1
yes,0,80,124.4,10.57,8.1,6
no,0,108,162.0,13.77,10.1,3
no,39,137,236.7,20.12,9.9,1
no,31,78,191.3,16.26,9.1,1
no,0,111,198.5,16.87,8.0,2
yes,0,105,109.4,9.3,12.7,4
no,0,68,262.2,22.29,8.8,0
no,0,93,190.1,16.16,10.5,2
no,0,107,199.4,16.95,9.4,2
no,31,70,209.5,17.81,9.9,4
no,0,105,127.8,10.86,9.3,1
no,0,122,245.9,20.9,6.4,0
no,0,113,216.6,18.41,9.9,2
yes,0,118,192.1,16.33,10.4,0
no,0,99,153.1,13.01,6.4,0
no,0,107,128.9,10.96,11.3,1
no,0,124,189.6,16.12,12.1,1
yes,19,96,198.4,16.86,10.5,1
no,0,116,212.1,18.03,15.1,1
no,0,129,218.7,18.59,6.6,4
no,0,111,134.4,11.42,5.7,1
no,0,84,216.8,18.43,9.0,2
no,0,104,204.7,17.4,11.3,4
no,24,138,203.8,17.32,6.0,2
no,29,83,268.2,22.8,8.4,3
no,0,125,158.2,13.45,6.1,1
no,0,84,221.3,18.81,7.8,2
no,0,76,205.2,17.44,9.4,2
no,0,73,155.5,13.22,14.7,3
no,0,97,193.8,16.47,9.7,2
no,0,78,222.7,18.93,9.0,0
no,0,97,174.0,14.79,13.0,2
no,0,92,120.3,10.23,9.0,1
no,0,70,280.1,23.81,10.4,1
no,0,121,212.9,18.1,13.0,5
no,0,129,183.9,15.63,4.6,0
yes,0,87,226.1,19.22,8.2,5
no,26,91,160.5,13.64,9.9,1
no,0,87,208.5,17.72,4.4,2
no,0,112,195.1,16.58,10.5,2
no,33,100,194.0,16.49,5.2,1
no,0,93,206.4,17.54,8.3,0
no,0,112,265.8,22.59,0.0,4
yes,0,106,188.0,15.98,8.5,0
no,24,88,193.1,16.41,11.6,2
no,0,115,207.0,17.6,8.2,1
no,0,124,204.0,17.34,15.1,1
yes,0,114,211.3,17.96,13.8,2
no,0,99,210.7,17.91,2.1,0
no,0,124,168.1,14.29,9.8,1
no,0,89,196.0,16.66,10.8,0
no,0,98,192.6,16.37,12.2,0
no,42,57,203.6,17.31,11.4,2
no,0,81,194.6,16.54,8.4,2
yes,0,139,241.9,20.56,4.2,4
no,21,113,260.1,22.11,8.2,2
yes,0,102,268.3,22.81,11.6,1
no,0,84,189.6,16.12,16.4,2
no,28,94,141.5,12.03,6.4,2
no,0,130,217.1,18.45,12.5,0
no,0,76,161.0,13.69,9.0,0
yes,0,77,131.8,11.2,9.4,6
no,0,105,207.2,17.61,5.6,1
no,0,74,195.1,16.58,8.8,2
no,23,88,265.0,22.53,14.9,2
no,28,107,195.5,16.62,6.8,3
no,27,141,201.3,17.11,7.1,3
no,0,117,134.5,11.43,8.2,3
yes,0,66,251.3,21.36,8.4,5
no,0,96,160.0,13.6,13.7,3
no,0,58,201.9,17.16,8.6,1
no,0,128,211.2,17.95,10.0,2
no,0,76,77.2,6.56,10.0,0
no,0,71,214.8,18.26,13.0,1
yes,0,108,259.9,22.09,10.7,3
no,0,92,220.9,18.78,13.3,3
no,0,102,166.8,14.18,9.4,3
no,0,49,141.5,12.03,6.2,3
no,0,68,179.3,15.24,10.2,1
no,30,71,182.4,15.5,11.0,2
no,0,97,154.9,13.17,12.4,0
no,0,105,224.9,19.12,14.6,0
no,0,36,276.5,23.5,5.7,4
no,0,114,208.7,17.74,14.4,2
no,0,105,262.0,22.27,8.5,1
yes,0,109,129.4,11.0,10.5,0
no,0,74,169.7,14.42,9.0,2
no,0,143,247.0,21.0,9.6,0
no,0,99,176.7,15.02,14.7,4
no,0,78,204.2,17.36,5.9,1
no,0,105,121.5,10.33,16.0,1
yes,27,124,146.6,12.46,6.4,4
yes,0,88,196.0,16.66,12.0,1
no,0,80,165.0,14.03,10.7,0
yes,0,83,218.4,18.56,11.0,1
no,0,86,237.6,20.2,5.3,1
no,0,77,302.0,25.67,15.6,0
no,0,114,206.9,17.59,11.3,1
no,0,114,168.5,14.32,10.3,1
no,0,117,273.0,23.21,10.9,0
no,0,86,162.8,13.84,9.3,1
no,0,133,278.6,23.68,11.5,0
